Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,BA,MSFT,ORCL,TSLA,AAPL,BA,MSFT,ORCL,TSLA,AAPL,BA,MSFT,ORCL,TSLA,AAPL,BA,MSFT,ORCL,TSLA,AAPL,BA,MSFT,ORCL,TSLA 
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-01,21.91367530822754,108.40665435791016,38.95292663574219,32.249046325683594,16.016000747680664,22.247308061063475,110.75444025116084,39.48757229973575,32.519975308126504,16.17733383178711,21.807619271946674,108.09361623881006,38.910491665329666,32.13051529958085,15.710000038146973,22.225211859464974,110.75444025116084,39.26692534532577,32.44377632995642,16.14666748046875,205965200,5265200,38088400,17452400,89125500
2014-10-02,22.0727596282959,107.9719009399414,38.83412170410156,32.401432037353516,16.761333465576172,22.143463094132716,109.1718828413741,39.122662084112854,32.63849399997205,16.8526668548584,21.661795206337022,107.68494816923945,38.73228487507829,32.10510135435334,16.357332229614258,21.933560968330205,108.17190013489105,38.8935300281441,32.29983451476372,16.68000030517578,191031200,3204500,25119400,14808100,134973000
2014-10-03,22.01089096069336,109.87618255615234,39.11418151855469,32.92635726928711,17.013999938964844,22.141249771198055,110.31965428418188,39.29239679912748,33.12108720547378,17.100000381469727,21.882740421560943,108.39795230822799,38.70683091838766,32.51149882298028,16.735332489013672,21.97112016184893,108.39795230822799,39.02082973234947,32.59616288924332,16.87066650390625,173878400,3075900,32453200,15289500,81094500
2014-10-06,22.01089096069336,109.78926086425781,39.11418151855469,33.189640045166016,17.374666213989258,22.238467654085174,110.59794171631907,39.29239679912748,33.32552379885278,17.499332427978516,21.966700247697695,109.02405348261468,38.96990969332804,33.07923348288169,17.18666648864746,22.083802687155362,110.51098150721779,39.139639919398,33.09621935705807,17.275333404541016,148204800,2681000,20604000,14168000,115699500
2014-10-07,21.818674087524414,107.23277282714844,38.6389274597168,32.6630859375,17.30466651916504,22.121374274123774,109.1457778024572,38.97838782335816,33.18963828994847,17.430667877197266,21.814255857267092,107.20668742094188,38.54557569784872,32.63760874744491,17.048667907714844,21.968919201833756,109.1457778024572,38.91898274532102,33.07073717700187,17.235332489013672,168376800,3554900,25723700,14309200,67282500
2014-10-08,22.271610260009766,108.67622375488281,39.69974136352539,33.1386833190918,17.28533363342285,22.340103758001124,108.77186802987787,39.79309313553783,33.16416051118344,17.525333404541016,21.721447261894,106.21539879122781,38.47768974881952,32.30639490028008,16.842666625976562,21.82087510182372,107.36320306661581,38.59649991780469,32.96882781245741,17.34000015258789,229618800,3610300,33031000,16005500,75826500
2014-10-09,22.32021713256836,106.74581909179688,38.91049575805664,32.90087127685547,17.134000778198242,22.620707232867286,108.47621945235788,39.71671172068901,33.30002779429181,17.702667236328125,22.229629122493275,106.35451812732163,38.817147230398085,32.705535435042044,16.959999084472656,22.43511129864323,108.45013404821913,39.46211805810354,33.113189745178765,17.483333587646484,309506000,4874700,34422800,15004900,110419500
2014-10-10,22.25614356994629,105.65021514892578,37.36595916748047,32.35733413696289,15.793999671936035,22.54337561398651,107.26757699798566,39.1396330836003,33.20660803283827,16.392667770385742,22.16113564571143,105.65021514892578,37.298069031310476,32.34884282348217,15.680000305175781,22.247305427493824,106.84149979856373,38.69833586782557,32.832928684953316,16.30933380126953,265326400,4214200,51978100,18234100,193324500
