price,spread,returns
595.4,5.925000000000011,-0.015581700908460634
598.1,12.649999999999977,0.004524515468835424
623.55,16.94999999999999,0.041670990316244785
622.1,4.199999999999989,-0.002328102845781986
625.5,6.699999999999989,0.005450478385991733
598.35,17.875,-0.04437546288744048
605.35,8.574999999999989,0.011630936134223929
620.25,12.875,0.02431581941816096
643.0,12.375,0.03602210166570901
656.45,9.125,0.020701805142500137
661.65,3.8999999999999773,0.007890185838939062
652.15,5.300000000000011,-0.014462118402766292
660.3,10.924999999999955,0.012419680384233429
662.1,4.275000000000034,0.002722324730274886
675.3,8.725000000000023,0.019740434649995732
678.8,5.550000000000011,0.005169496779274946
688.15,9.550000000000011,0.01368030406547041
682.75,4.475000000000023,-0.007878077071727146
685.75,4.125,0.004384369463898223
701.25,7.75,0.022351327019193536
688.8,7.300000000000011,-0.01791350372338509
693.6,4.800000000000011,0.006944472352811215
683.85,6.675000000000011,-0.014156830138772024
685.35,4.224999999999966,0.002191061349829996
691.05,3.5,0.008282523372645376
705.25,11.974999999999966,0.020340169832070026
703.6,4.0,-0.002342337018702516
704.95,3.4250000000000114,0.0019168654479671296
704.55,3.1499999999999773,-0.0005675771702564615
705.05,3.650000000000034,0.0007094211421254098
712.8,6.625,0.010932153873360429
718.4,8.0,0.007825640831390368
711.5,4.75,-0.009651099458082728
713.75,4.100000000000023,0.0031573434403128985
713.95,3.4499999999999886,0.00028017090608431966
732.4,9.25,0.025513880924051227
736.6,2.875,0.0057181912106093495
718.15,10.425000000000011,-0.02536654313313328
709.65,6.849999999999966,-0.011906570132564935
711.4,5.300000000000011,0.002462968769088105
703.05,5.25,-0.01180684647753005
697.65,6.649999999999977,-0.0077104686986090715
713.55,9.050000000000011,0.022534967208184434
712.45,3.4499999999999886,-0.0015427773046022624
705.75,4.25,-0.009448667108199115
711.7,3.724999999999966,0.008395407171626745
730.45,13.375,0.026004308273297697
723.8,5.75,-0.009145671448881112
721.45,2.4250000000000114,-0.0032520353863772318
725.2,4.699999999999989,0.005184403137431198
723.75,2.9500000000000455,-0.002001449993491046
725.7,3.4250000000000114,0.002690677396886343
734.7,4.899999999999977,0.012325546342140522
733.65,5.175000000000011,-0.0014301769727559186
728.5,4.675000000000011,-0.007044450018216283
728.85,3.1999999999999886,0.000480323884762273
733.35,4.625,0.00615512817274248
732.25,1.5750000000000455,-0.0015010919849213838
729.4,3.1999999999999886,-0.0038997073332630297
733.75,4.5,0.005946092767726402
737.85,3.0,0.005572180767152246
735.25,1.6999999999999886,-0.0035299744753541362
727.45,6.699999999999989,-0.010665309272706614
728.3,2.5499999999999545,0.0011677830624716283
715.3,7.149999999999977,-0.018011016109531354
703.15,6.1749999999999545,-0.01713179479808141
690.9,7.050000000000011,-0.017575144821507488
702.45,8.349999999999966,0.016579128802911264
707.05,3.2749999999999773,0.006527160456124944
701.15,4.625,-0.008379540581125656
700.55,2.375,-0.0008561033554193682
686.3,8.350000000000023,-0.02055089090265147
695.3,4.9500000000000455,0.013028557190383256
709.25,6.975000000000023,0.019864666583988555
720.5,6.074999999999989,0.015737341750616
722.0,4.625,0.0020797234532494843
720.55,3.6000000000000227,-0.0020103296084557428
718.4,3.9250000000000114,-0.0029882922963807594
721.2,3.1999999999999886,0.003889974341172511
725.7,3.525000000000034,0.006220214954929051
720.9,5.675000000000011,-0.006636274873558414
728.25,5.225000000000023,0.010143964429011052
721.65,4.2000000000000455,-0.009104139025971653
724.4,1.599999999999966,0.003803469195686006
719.3,2.6999999999999886,-0.007065209135947779
725.25,5.050000000000011,0.008237906128202887
728.95,2.9499999999999886,0.005088719549317546
729.3,4.699999999999989,0.00048002743935621477
718.9,5.550000000000011,-0.014362904000361536
720.5,2.650000000000034,0.0022231494497509953
710.25,6.775000000000034,-0.014328394705279471
700.35,7.125,-0.014036810649241517
696.7,6.1749999999999545,-0.005225308048982522
669.65,14.125,-0.039599714202942206
654.6,10.875,-0.022730825766050917
670.9,10.024999999999977,0.024595732501762235
650.2,10.724999999999966,-0.03134008669903729
648.75,9.375,-0.00223257338970661
652.9,10.350000000000023,0.00637654371248938
662.0,7.5,0.01384157774442042
668.4,7.399999999999977,0.009621240784230314
660.25,5.824999999999989,-0.012268245543997065
664.3,6.149999999999977,0.006115303493953799
670.25,4.824999999999989,0.008916922444873191
662.0,5.724999999999966,-0.012385221179060416
659.5,9.574999999999989,-0.0037835837796389173
661.4,5.625,0.0028768283903230787
664.3,4.199999999999989,0.0043750541235031476
663.05,5.850000000000023,-0.001883452547587541
671.15,4.775000000000034,0.012142256810037158
666.1,4.425000000000011,-0.007552849514511279
651.85,7.725000000000023,-0.021625335310345925
658.15,4.599999999999966,0.009618394762628844
645.85,7.9500000000000455,-0.01886559019339208
654.65,7.850000000000023,0.013533462995737643
642.55,9.150000000000034,-0.018656106920612182
644.3,7.300000000000011,0.0027198213914466233
633.85,6.0,-0.01635212275986098
646.85,6.875,0.02030209497917518
656.55,8.375,0.01488442394110297
655.0,7.375,-0.002363616669762086
640.9,10.5,-0.02176179712507085
646.25,4.274999999999977,0.008312987312457705
645.1,4.4249999999999545,-0.0017810822844428632
623.6,46.75,-0.03389620635457455
631.85,16.55000000000001,0.013142887021068259
635.35,8.449999999999989,0.005524003945853606
641.5,13.025000000000034,0.009633155905147656
675.95,21.75,0.052309924754723305
687.9,13.049999999999955,0.01752436972155407
680.05,9.649999999999977,-0.011477153653206047
674.95,10.699999999999989,-0.00752771082392626
681.3,7.625,0.009364123724786311
683.75,4.9249999999999545,0.003589615956568544
