date,price,spread,returns
2025-11-13 09:20:00+05:30,609.85,17.649999999999977,0.02079352555098708
2025-11-13 09:25:00+05:30,622.1,10.25,0.019887826231726864
2025-11-13 09:30:00+05:30,606.4,14.199999999999989,-0.025561017192812317
2025-11-13 09:35:00+05:30,609.05,11.375,0.004360531817805921
2025-11-13 09:40:00+05:30,643.0,17.075000000000045,0.054244358091651436
2025-11-13 09:45:00+05:30,657.8,9.125,0.022756209517337124
2025-11-13 09:50:00+05:30,643.95,9.949999999999989,-0.021279850416277165
2025-11-13 09:55:00+05:30,662.1,12.449999999999989,0.027795518592121024
2025-11-13 10:00:00+05:30,677.85,10.375,0.02350942259459804
2025-11-13 10:05:00+05:30,686.55,9.550000000000011,0.012753031242362245
2025-11-13 10:10:00+05:30,685.75,4.149999999999977,-0.0011659259500480619
2025-11-13 10:15:00+05:30,701.05,8.800000000000011,0.022066081349427943
2025-11-13 10:20:00+05:30,692.7,6.8250000000000455,-0.011982206138581072
2025-11-13 10:25:00+05:30,685.35,7.175000000000011,-0.010667348351169238
2025-11-13 10:30:00+05:30,711.85,14.149999999999977,0.03793755838236469
2025-11-13 10:35:00+05:30,702.15,5.349999999999966,-0.013720158645565588
2025-11-13 10:40:00+05:30,704.55,3.4250000000000114,0.0034122447269244265
2025-11-13 10:45:00+05:30,715.5,8.225000000000023,0.0154222978553919
2025-11-13 10:50:00+05:30,719.4,8.300000000000011,0.0054359322650180345
2025-11-13 10:55:00+05:30,713.75,6.975000000000023,-0.007884770291303574
2025-11-13 11:00:00+05:30,723.95,8.150000000000034,0.01418956825721081
2025-11-13 11:05:00+05:30,730.05,7.175000000000011,0.008390695720142127
2025-11-13 11:10:00+05:30,709.65,12.375,-0.028341134202306204
2025-11-13 11:15:00+05:30,702.7,7.399999999999977,-0.009841832547114593
2025-11-13 11:20:00+05:30,700.0,8.175000000000011,-0.003849723154747433
2025-11-13 11:25:00+05:30,712.45,9.024999999999977,0.017629399198393143
2025-11-13 11:30:00+05:30,706.4,4.25,-0.008528084952047656
2025-11-13 11:35:00+05:30,729.0,15.625,0.03149208271890793
2025-11-13 11:40:00+05:30,721.45,5.699999999999989,-0.01041065626539334
2025-11-13 11:45:00+05:30,722.1,5.275000000000034,0.0009005577138711737
2025-11-13 11:50:00+05:30,727.2,3.625,0.0070379094061332375
2025-11-13 11:55:00+05:30,733.65,5.274999999999977,0.008830532790206689
2025-11-13 12:00:00+05:30,729.15,4.675000000000011,-0.006152603493901751
2025-11-13 12:05:00+05:30,732.35,4.625,0.004379069604741985
2025-11-13 12:10:00+05:30,729.4,3.1999999999999886,-0.004036263389736331
2025-11-13 12:15:00+05:30,733.7,4.5,0.005877947345368813
2025-11-13 12:20:00+05:30,735.3,2.3249999999999886,0.0021783534822279
2025-11-13 12:25:00+05:30,728.3,5.625,-0.009565527978307132
2025-11-13 12:30:00+05:30,705.75,12.074999999999989,-0.03145198409027073
2025-11-13 12:35:00+05:30,700.6,9.875,-0.007323956370212257
2025-11-13 12:40:00+05:30,707.05,6.724999999999966,0.00916427399039886
2025-11-13 12:45:00+05:30,700.15,4.849999999999966,-0.009806786951999344
2025-11-13 12:50:00+05:30,690.0,8.775000000000034,-0.014603000210480931
2025-11-13 12:55:00+05:30,709.25,10.5,0.02751647609765563
2025-11-13 13:00:00+05:30,716.8,6.074999999999989,0.010588787971759942
2025-11-13 13:05:00+05:30,720.85,4.0,0.0056342095971922196
2025-11-13 13:10:00+05:30,721.2,4.375,0.00048542007124939844
2025-11-13 13:15:00+05:30,718.4,5.675000000000011,-0.0038899743411724666
2025-11-13 13:20:00+05:30,727.15,5.4500000000000455,0.012106266635729225
2025-11-13 13:25:00+05:30,724.4,3.5500000000000114,-0.003789057614460861
2025-11-13 13:30:00+05:30,720.85,4.300000000000011,-0.004912654751345523
2025-11-13 13:35:00+05:30,722.9,5.224999999999966,0.002839828748338662
2025-11-13 13:40:00+05:30,718.9,5.550000000000011,-0.005548634016425572
2025-11-13 13:45:00+05:30,710.45,7.300000000000011,-0.011823693905741483
2025-11-13 13:50:00+05:30,702.45,7.125,-0.011324347786423869
2025-11-13 13:55:00+05:30,669.65,18.5,-0.047819036464529445
2025-11-13 14:00:00+05:30,657.7,10.875,-0.018006287525825698
2025-11-13 14:05:00+05:30,650.25,11.649999999999977,-0.011391995978544423
2025-11-13 14:10:00+05:30,652.9,11.774999999999977,0.0040670738638269085
2025-11-13 14:15:00+05:30,675.95,12.149999999999977,0.03469513061782659
2025-11-13 14:20:00+05:30,667.8,8.875,-0.012130381300860383
2025-11-13 14:25:00+05:30,670.25,5.449999999999989,0.0036620496065146203
2025-11-13 14:30:00+05:30,658.55,6.625,-0.01761032867101318
2025-11-13 14:35:00+05:30,661.5,7.699999999999989,0.0044695351099548865
2025-11-13 14:40:00+05:30,663.05,6.550000000000011,0.0023404185685975817
2025-11-13 14:45:00+05:30,671.0,6.175000000000011,0.01191873484807393
2025-11-13 14:50:00+05:30,658.85,10.574999999999989,-0.018273245980420516
2025-11-13 14:55:00+05:30,645.85,7.9500000000000455,-0.01992861231323669
2025-11-13 15:00:00+05:30,646.9,9.675000000000011,0.0016244443719150739
2025-11-13 15:05:00+05:30,637.3,7.350000000000023,-0.014951220729691315
2025-11-13 15:10:00+05:30,646.85,6.875,0.014873926043662573
2025-11-13 15:15:00+05:30,653.8,9.125,0.010687065926199113
2025-11-13 15:20:00+05:30,647.15,10.5,-0.010223387401663049
2025-11-13 15:25:00+05:30,645.1,4.4249999999999545,-0.0031727633502510754
